t,type,r,v,details
443027.3658,pericenter,7000000.007,7545.999992,{"ecc": 5.904052718642268e-05, "energy": -28467696.287509672}
445944.0336,apocenter,7000826.607,7545.109022,{"ecc": 5.904049659820855e-05, "energy": -28467696.28752283}
448856.6471,pericenter,7000000.007,7545.999992,{"ecc": 5.9040522415100834e-05, "energy": -28467696.287533175}
451769.5514,apocenter,7000826.616,7545.109013,{"ecc": 5.904049488254171e-05, "energy": -28467696.287545335}
454687.7001,pericenter,7000000.012,7545.999987,{"ecc": 5.9040522457019356e-05, "energy": -28467696.28755636}
457600.258,apocenter,7000826.613,7545.109016,{"ecc": 5.904049073082247e-05, "energy": -28467696.287570383}
460517.1887,pericenter,7000000.013,7545.999986,{"ecc": 5.904051973630315e-05, "energy": -28467696.287582975}
463428.4327,apocenter,7000826.615,7545.109014,{"ecc": 5.904044192290636e-05, "energy": -28467696.287621483}
466343.9079,pericenter,7000000.007,7545.999993,{"ecc": 5.9040474048102236e-05, "energy": -28467696.287635442}
469262.8831,apocenter,7000826.6,7545.10903,{"ecc": 5.904044255031214e-05, "energy": -28467696.28764929}
472176.7042,pericenter,7000000.017,7545.999982,{"ecc": 5.904047285396792e-05, "energy": -28467696.287663225}
475089.8532,apocenter,7000826.608,7545.109021,{"ecc": 5.9040448075688814e-05, "energy": -28467696.287673734}
478001.0872,pericenter,7000000.004,7545.999995,{"ecc": 5.904047687514467e-05, "energy": -28467696.287687007}
480916.2064,apocenter,7000826.615,7545.109014,{"ecc": 5.9040451893918285e-05, "energy": -28467696.287697457}
483834.0315,pericenter,7000000.013,7545.999986,{"ecc": 5.90404741357101e-05, "energy": -28467696.287706584}
486748.8332,apocenter,7000826.607,7545.109023,{"ecc": 5.9040453599917376e-05, "energy": -28467696.28771475}
489661.238,pericenter,7000000.007,7545.999992,{"ecc": 5.904047317781192e-05, "energy": -28467696.28772237}
492575.3678,apocenter,7000826.614,7545.109015,{"ecc": 5.904045307045021e-05, "energy": -28467696.287730295}
495492.1975,pericenter,7000000.012,7545.999987,{"ecc": 5.904047223711256e-05, "energy": -28467696.287738055}
498404.2482,apocenter,7000826.614,7545.109015,{"ecc": 5.9040451014300035e-05, "energy": -28467696.287746724}
501318.2851,pericenter,7000000.005,7545.999995,{"ecc": 5.904047368536444e-05, "energy": -28467696.287756138}
504233.4401,apocenter,7000826.614,7545.109015,{"ecc": 5.904037282136454e-05, "energy": -28467696.287811466}
507149.6831,pericenter,7000000.01,7545.999989,{"ecc": 5.9040392758627484e-05, "energy": -28467696.28781924}
510066.0337,apocenter,7000826.605,7545.109024,{"ecc": 5.904037119700014e-05, "energy": -28467696.28782826}
512977.9272,pericenter,7000000.007,7545.999992,{"ecc": 5.9040391912411944e-05, "energy": -28467696.287836503}
515894.1438,apocenter,7000826.609,7545.109021,{"ecc": 5.904036967244791e-05, "energy": -28467696.287845757}
518806.1089,pericenter,7000000.005,7545.999994,{"ecc": 5.904039096873222e-05, "energy": -28467696.28785462}
521720.6287,apocenter,7000826.615,7545.109014,{"ecc": 5.904036961283119e-05, "energy": -28467696.287863627}
524638.8483,pericenter,7000000.014,7545.999985,{"ecc": 5.904039513262936e-05, "energy": -28467696.287874524}
527550.9792,apocenter,7000826.613,7545.109016,{"ecc": 5.904037585460012e-05, "energy": -28467696.28788246}
530464.613,pericenter,7000000.005,7545.999994,{"ecc": 5.9040395056236284e-05, "energy": -28467696.28788978}
533382.4446,apocenter,7000826.607,7545.109022,{"ecc": 5.9040373029312474e-05, "energy": -28467696.28789971}
536297.493,pericenter,7000000.014,7545.999985,{"ecc": 5.904040898662438e-05, "energy": -28467696.287915163}
539212.6858,apocenter,7000826.604,7545.109026,{"ecc": 5.904038515916458e-05, "energy": -28467696.2879255}
542123.1315,pericenter,7000000.005,7545.999994,{"ecc": 5.904040819173561e-05, "energy": -28467696.287934612}
545037.2738,apocenter,7000826.615,7545.109014,{"ecc": 5.9040385179803374e-05, "energy": -28467696.287944254}
547953.3146,pericenter,7000000.007,7545.999992,{"ecc": 5.9040409485376776e-05, "energy": -28467696.287953984}
550866.8978,apocenter,7000826.615,7545.109014,{"ecc": 5.904038736532158e-05, "energy": -28467696.28796388}
